objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Drop Drive","308028","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","107884368","5.64083","7.40462","2.125","7870","783","thing","Drop Drive","2","4","60","60","45","2023","2,3,4","3,4","8+","","","","","","","standalone","","","","","","","","","","","","Phase Shift Games","English","2023","English edition"
"Drop Drive: 5th Captain Pack","413803","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117074390","0","7.78889","0","0","201","thing","Drop Drive: 5th Captain Pack","2","5","0","0","0","0","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Drop Drive: Limited Promo Pack (2021)","413300","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117074368","0","7.93333","0","0","232","thing","Drop Drive: Limited Promo Pack (2021)","2","4","60","60","45","2023","","","","","","","","","","expansion","","","","","","","","","","","","Phase Shift Games","English","2023","English edition"
"Drop Drive: Strange Signals","404232","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117074355","0","8.10667","0","0","263","thing","Drop Drive: Strange Signals","2","4","60","60","45","2023","","","","","","","","","","expansion","","","","","","","","","","","","Phase Shift Games","English","2023","English edition"
"Drops of Evil","475466","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149226481","0","0","0","0","1","thing","Drops of Evil","2","4","60","60","60","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Duck & Cover","422019","0","3","0","0","0","0","0","0","0","0","1","2","","","","","","138350616","6.05871","6.65882","1.0392","2907","4610","thing","Duck & Cover","2","7","20","20","15","2024","2,3,4,5,6,7","4,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Duel om Cardia","447243","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","136519050","6.81267","7.50311","1.7549","747","10960","thing","Duel for Cardia","2","4","15","15","15","2025","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","999 Games","Dutch","2025","Dutch edition"
"Dungeons, Dice & Danger","349463","0","2","0","0","0","0","0","0","0","0","0","5","Er zijn leukere roll & writes","","","","","106006006","6.33042","7.02248","1.8667","1788","7833","thing","Dungeons, Dice & Danger","1","4","60","60","45","2022","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Elementica","469261","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149373695","0","8.17647","3","0","35","thing","Elementica","1","4","100","100","60","2026","1,2,3,4","3,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Elementos","186489","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458364","5.5194","6.30793","2","19888","229","thing","Elementos","2","2","15","15","15","2015","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Tyto Games","English; German","2015","English/German edition"
"Emerald Echoes","442415","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","147440323","5.54125","7.925","2.6","14705","491","thing","Emerald Echoes","1","99","240","240","240","2026","1,2,3","2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Emerald Flame","299371","0","5","0","1","0","0","0","0","0","0","0","1","","","","","","135306471","5.96854","8.30072","3.5714","3409","1810","thing","The Emerald Flame","1","4","540","540","270","2021","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Epochs: Course of Cultures","400817","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","138216028","5.79857","7.95348","3.5455","4868","696","thing","Epochs: Course of Cultures","2","4","180","180","120","2025","2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","80","EUR","","","2025-10-26","Spiel25","","","","","","","",""
"Etherstone","412086","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel25","","","","137198423","6.26667","7.60943","2.4444","2007","2937","thing","Etherstone","2","4","60","60","30","2025","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Everbloom","369897","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","119856795","5.57122","7.26857","2.8333","11413","482","thing","Everbloom","1","4","90","90","60","2025","2,3,4","3","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Evergreen","363307","0","9","0","1","0","0","0","0","0","0","0","3","Spiel 22","","","","","95659182","6.74819","7.44904","2.1339","843","7392","thing","Evergreen","1","4","45","45","45","2022","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","65","EUR","","","","","","","","","Horrible Guild","English","2022","English edition"
"Evergreen: Cherry Blossoms and Bamboo","448442","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","135238027","5.57315","8.08429","0","0","680","thing","Evergreen: Cherry Blossoms and Bamboo","1","4","60","60","45","2025","","","","","","","","","","expansion","","18","EUR","","","2025-10-24","Spiel25","","","","","","","",""
"Evergreen: Essen 2022 Promo Card","372323","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135237987","5.55588","7.49624","0","0","559","thing","Evergreen: Essen 2022 Promo Card","1","4","45","0","45","2022","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Evergreen: Giant Trees and Mushrooms","429028","0","0","0","1","0","0","0","0","0","0","0","1","Spiel 24","","","","","123593673","5.61951","8.03443","2","0","943","thing","Evergreen: Giant Trees and Mushrooms","1","4","45","45","45","2024","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Evergreen: Pines and Cacti","400944","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110496436","5.70838","7.86552","2.3333","0","1788","thing","Evergreen: Pines and Cacti","1","4","45","45","45","2023","1,2,3,4","2","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Explorers of Navoria","371932","0","1","0","0","0","0","0","0","0","0","0","3","Spiel 24","","","","","123002768","6.53336","7.48665","2.2708","1259","5798","thing","Explorers of Navoria","2","4","80","80","40","2024","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Explorers of Navoria: Forgotten Lands","411026","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","123002804","5.85812","7.70582","2.7391","0","3043","thing","Explorers of Navoria: Forgotten Lands","1","5","80","80","40","2024","1,2,3,4,5","3","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Faraway","385761","0","5","0","1","0","0","0","0","0","0","0","1","","","","","","125289694","7.27379","7.53912","1.9449","254","34206","thing","Faraway","2","6","25","25","25","2023","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Faraway: Under Starry Skies","451708","0","0","0","0","0","0","0","0","0","0","1","4","","Spiel 25; Waiting for the Dutch (or English Version)","","","","136082757","5.86111","7.72264","2.125","0","4042","thing","Faraway: Under Starry Skies","2","6","30","30","15","2026","2,3,4,5,6","2,3,4,5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Faraway: Volkeren uit de Diepte","425029","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139149084","6.34916","7.82873","1.9167","0","8606","thing","Faraway: People From Below","2","7","25","25","25","2025","2,3,4,5,6","2,4,5","6+","No necessary in-game text","","","","","","expansion","","","","","","2025-11-27","Secret Santa 2025","","","","","White Goblin Games","Dutch","2025","Dutch edition"
"Feya's Swamp","438442","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel25","","","","137335109","6.3636","7.60121","3.1809","1693","3535","thing","Feya's Swamp","2","4","100","100","80","2025","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"First Rat","347703","0","2","0","0","0","0","0","0","1","0","0","2","","","","","","99090240","6.83762","7.4956","2.277","715","7870","thing","First Rat","1","5","75","75","30","2022","1,2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","SecretSanta 2022 Gift","","","","","",""
"Flame & Forge","457742","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149373242","0","7.86842","2","0","23","thing","Flame & Forge","1","4","60","60","45","2026","1,2,3,4","1,2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flamecraft","336986","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","96686238","7.08685","7.36402","2.1892","408","47269","thing","Flamecraft","1","5","60","60","60","2022","1,2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","131","EUR","","","","Crowdfinder","","","","","Cardboard Alchemy; Lucky Duck Games","English","2022","English deluxe edition"
"FLOE","363204","0","0","0","0","0","0","0","0","0","0","1","4","","Spiel 24, 25, 26","","","","120950340","5.54676","7.145","2.963","13900","186","thing","FLOE","1","4","90","90","60","2026","2,3,4","3","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fonkelschat: Het drakenei","285529","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","99764208","5.52697","6.12162","1","17658","383","thing","Dragon's Breath: The Hatching","2","4","20","20","20","2019","3,4","4","5","","","","","","","standalone","","","","","","","","","","","","HABA","Dutch","2019","Dutch edition"
"Forests of Pangaia","317859","0","2","0","1","0","0","0","0","0","0","0","3","Spiel '24","","","","","105119063","5.98217","7.24481","2.3617","3323","2818","thing","Forests of Pangaia","1","4","60","60","40","2023","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Funkelschatz","235655","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","99764251","5.99136","6.55677","1.0462","3262","4344","thing","Dragon's Breath","2","4","20","20","15","2020","2,3,4","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HABA","Dutch; English; French; German; Italian","2020","HABA multilingual mini edition 2020"
"Gardlings","416059","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 24
Spiel 25","","","","120950610","5.86857","7.1614","1.6111","4179","1158","thing","Gardlings","1","4","45","45","20","2024","1,2,3,4","4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Geek Out! Disney","285028","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","149225871","5.52319","6.4871","1","18700","489","thing","Geek Out! Disney","2","99","30","30","30","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Girl Who Made The Stars","331808","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","82135814","5.56491","6.7533","2.3333","11899","736","thing","The Girl Who Made The Stars","1","4","60","60","60","2023","3,4","4","","","","","","","","standalone","","55","EUR","","","","Kickstarter","","","","","","","",""
"Go Slow!","291549","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","102578841","5.54313","6.72784","1","14421","167","thing","Go Slow!","2","4","20","20","15","2020","2,4","4","4–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","LOGIS","English; French; German","2020","EN/FR/DE edition"
"Gods & Mortals","447306","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 25","","","","136141383","5.51904","7.01667","3","20012","41","thing","Gods & Mortals","2","4","80","80","40","2026","3,4","3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Golem","298383","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","124629779","6.81333","7.5036","4.0122","746","8756","thing","Golem","1","4","120","120","90","2022","1,2,3,4","2,3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Cranio Creations","English","2022","English-only edition"
"The Good, the Bad, and the Munchkin","30166","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","68457893","5.70569","6.17105","1.9429","6272","3915","thing","The Good, the Bad, and the Munchkin","3","6","90","90","90","2007","3,4,5,6","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gorinto","270293","0","5","0","0","0","0","0","0","0","0","0","3","","","","","","92478682","6.04474","7.19142","1.9688","2977","3070","thing","Gorinto","1","4","60","60","30","2021","1,2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Grand Gamers Guild","English","2021","English edition"
"The Grimwood","186947","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","63492602","5.53677","6.0841","1.4","15473","1186","thing","The Grimwood","2","6","60","60","30","2016","2,3,4,5,6","4","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Grow Sky","428682","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149219487","5.60955","7.48484","2.5","9075","308","thing","Grow Sky","1","4","90","90","45","2024","3,4","3","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gwent: The Legendary Card Game","434222","0","10","0","1","0","0","0","0","0","0","0","3","","","","","","138094100","5.96317","7.51122","1.875","3450","3837","thing","Gwent: The Legendary Card Game","1","5","20","20","20","2025","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","No Loading Games","English","2025","English retail edition"
"Hamlet: The Village Building Game","276086","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","98388221","6.16281","6.81614","2.9451","2396","7733","thing","Hamlet: The Village Building Game","1","4","100","100","25","2022","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Harmonies","414317","0","5","0","1","0","0","0","0","0","0","0","2","","","","","","119855167","7.77186","8.03192","2.0116","53","56259","thing","Harmonies","1","4","45","45","30","2024","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Harmonies: Pulse","466234","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","147711380","5.78093","8.27839","2.125","0","3136","thing","Harmonies: Pulse","1","4","45","45","30","2026","1,2,3,4","2,3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Heat: Pedal to the Metal","366013","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","112433361","7.79514","7.99185","2.2013","47","64568","thing","Heat: Pedal to the Metal","1","6","60","60","30","2022","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Here be Dragons: Into the Unknown","292364","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","97999415","5.52167","7.08197","2","19195","210","thing","Here be Dragons: Into the Unknown","1","6","240","240","60","2020","1,2","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Here to Slay","299252","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","80317152","6.43138","6.87154","1.6905","1516","27023","thing","Here to Slay","2","6","60","60","30","2020","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Here to Slay: Dragon Sorcerer Expansion","308525","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","80317161","5.64826","7.44935","1.5","0","1743","thing","Here to Slay: Dragon Sorcerer Expansion","2","6","90","90","15","2020","","","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Here to Slay: Warriors & Druids Expansion","321259","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80317173","6.03814","7.43899","1.9167","0","6827","thing","Here to Slay: Warriors & Druids Expansion","2","6","60","60","30","2020","2,3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Hickory Dickory","367490","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","114089264","5.92247","7.0228","2.6667","3726","2864","thing","Hickory Dickory","1","4","120","120","60","2023","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","55","EUR","","","","","","","","","Plaid Hat Games","English","2023","English edition"
"Hitster: 100% NL","440608","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","132077390","5.5444","7.41034","1","14220","278","thing","Hitster: 100% NL","2","10","30","30","30","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Hitster: Christmas","436514","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139471007","5.62","6.784","1","0","1258","thing","Hitster: Christmas","2","10","30","30","30","2025","2,3,4,5,6,7,8,9","4","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Hitster: Guilty Pleasures","397736","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","124939512","6.27472","7.44667","1.0455","1979","5186","thing","Hitster: Guilty Pleasures","2","10","30","30","30","2023","2,3,4,5,6,7,8,9,10","4,5,6","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hitster: Movies & TV Soundtracks","433541","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","129988600","6.03816","7.38974","1","0","3950","thing","Hitster: Movies & TV Soundtracks","2","10","30","30","30","2024","2,3,4,5,6,7,8,9,10","4,5","16+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Hive","2655","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","110638010","7.16522","7.31343","2.3119","338","58616","thing","Hive","2","2","20","20","20","2008","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Gen42 Games; Vendetta","Dutch; English; French","2008","Vendetta Dutch edition"
"Honey Buzz","284742","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","86205851","7.02888","7.48931","2.7366","476","20398","thing","Honey Buzz","1","4","90","90","45","2021","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Elf Creek Games; Happy Meeple Games","Dutch","2021","Dutch edition"
"Hopp und Hui!","167412","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","96974516","5.50657","5.83385","1","24378","98","thing","Hopp und Hui!","2","4","20","20","20","2014","2,3,4","3","3–5","","","","","","","standalone","","","","","","","","","","","","LOGIS","English; German","2014","English/German first edition"
"HYVE","426523","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","145978261","5.53292","7.645","2","16230","230","thing","HYVE","1","2","90","90","45","2024","1","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"I C E: Second Edition","417219","0","0","0","0","0","0","0","0","0","0","1","4","","Spiel24
Spiel25","","","","137335224","5.61303","7.76878","2.8333","8890","620","thing","I C E: Second Edition","1","5","120","120","75","2026","1,2,3,4","2,4","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ice and Idols","423013","0","0","0","0","0","0","0","0","0","0","1","2","","Spiel 25","","","","136164355","5.60816","6.91666","2.25","9148","656","thing","Ice and Idols","2","4","60","60","45","2025","2","2","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Settlers","154203","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","104944621","7.08749","7.2814","2.775","407","34518","thing","Imperial Settlers","1","4","90","90","45","2014","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Settlers: 3 Is a Magic Number","195543","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121513200","6.04184","7.45313","2.8333","0","5968","thing","Imperial Settlers: 3 Is a Magic Number","1","4","60","60","60","2016","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Imperial Settlers: We Didn't Start The Fire","238389","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121513194","5.71644","7.3565","3","0","2997","thing","Imperial Settlers: We Didn't Start The Fire","1","4","90","90","45","2018","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Imperial Settlers: Why Can't We Be Friends","169075","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121513187","6.4359","7.52768","2.6154","0","9202","thing","Imperial Settlers: Why Can't We Be Friends","1","4","90","90","45","2014","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Ink","437301","0","0","0","0","0","0","0","0","0","0","1","4","","Spiel 25","","","","136164665","5.8888","6.94383","1.875","4004","1591","thing","Ink","1","4","45","45","30","2025","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Iquazú","235627","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","63492595","5.84238","6.8733","1.8235","4410","1574","thing","Iquazú","2","4","50","50","50","2017","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ironwood","407343","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","125178665","6.51077","7.78973","2.8049","1313","5331","thing","Ironwood","1","2","60","60","30","2024","1,2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Island Alone","357872","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","93524326","5.58674","7.00944","1.6667","10265","746","thing","Island Alone","1","4","40","40","15","2022","1,2","1","","","","","","","","standalone","","7","EUR","","","","Kickstarter","","","","","Hammerdice","English; French; German; Polish; Spanish","2022","Print and Play Multilingual edition"
"The Isle of Cats","281259","0","3","0","1","0","0","0","0","0","0","0","2","","","","","","99102796","7.35745","7.60289","2.3639","207","44199","thing","The Isle of Cats","1","4","90","90","60","2019","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","50","EUR","","","2022-11-06","Spellenspektakel","","","","","The City of Games","English","2019","English edition"
"Johari Bazaar","432491","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","137724998","5.52564","7.59768","1.75","18007","73","thing","Johari Bazaar","2","4","30","30","15","2025","2,4","2","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jokeren","231229","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","101325878","0","5.73684","0","0","58","thing","Jokeren","2","4","0","0","0","2015","","","","","","","","","","standalone","","","","","","","","","","","","Identity Games International B.V.","Dutch","2015","Identity Dutch edition"
"Kalypso","446453","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","147722699","5.52718","7.80811","2.3333","17601","81","thing","Kalypso","1","4","60","60","45","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Kano","470343","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149219161","5.56837","7.92917","2.5","11626","214","thing","Kano","2","4","40","40","30","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Kids Chronicles: The Old Oak Prophecy","399166","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","114175582","5.62086","7.1648","1.1429","8563","735","thing","Kids Chronicles: The Old Oak Prophecy","1","4","45","45","30","2023","1,2,3,4","2,3","5–10","","","","","","","standalone","","20","EUR","","","","Spiel 23","","","","","Lucky Duck Games","English","2023","English edition"
"Kilauea","430319","0","0","0","0","0","0","0","0","0","0","1","3","Spiel25","","","","","138215702","5.60842","7.18777","2.4615","9138","401","thing","Kilauea","2","4","60","60","40","2025","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdom Crossing","437245","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","135068144","6.20236","7.71731","3.0317","2246","2331","thing","Kingdom Crossing","1","4","90","90","45","2025","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","35","EUR","","","2025-10-24","Spiel25","","Spiel 25","","","","","",""
"Kingdomino","204583","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","82135830","7.16819","7.28637","1.242","333","92683","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Koi","436161","0","1","0","0","0","0","0","0","0","0","0","3","","Spiel25","","","","137348327","6.04926","7.51938","2.0345","2952","2509","thing","Koi","1","4","45","45","45","2025","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"De Kolonisten van Catan: Het Dobbelspel","27710","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458135","5.6384","5.7331","1.2269","7946","19750","thing","Catan Dice Game","1","4","30","30","15","2009","1,2,3","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","999 Games","Dutch","2009","Dutch edition 2009"
"De Kolonisten van Catan: Het Kaartspel","278","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458173","6.47982","6.69581","2.4377","1390","27248","thing","Catan Card Game","2","2","120","120","60","2007","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","999 Games","Dutch","2007","Dutch second edition"
"Koryŏ","140535","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80706154","5.97503","6.58286","1.8842","3367","2934","thing","Koryŏ","2","4","20","20","10","2013","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kronologic: Cuzco 1450","406619","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139625559","5.75262","7.62549","2.6","5483","1371","thing","Kronologic: Cuzco 1450","1","4","30","30","30","2025","1,2,3,4","1,2","10","","","","","","","standalone","","","","","","","","","","","","","","",""
"Kronologic: Paris 1920","402111","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","139625548","6.42675","7.46949","2.0545","1525","5472","thing","Kronologic: Paris 1920","1","4","30","30","30","2024","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kuldhara","399132","7","1","0","0","0","0","0","0","0","0","0","3","","Spiel25","","","","137713675","5.53822","7.04486","2.6667","15224","130","thing","Kuldhara","1","4","120","120","30","2025","1,2,3","1,3","10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Jolly Dutch Productions","Dutch; English","2025","DUT/ENG edition"
"Labyrinth: The Card Game","533","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","68458913","5.52637","5.58889","1.2113","17821","4419","thing","Labyrinth: The Card Game","2","6","30","30","30","2000","2,3,4,5,6","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lady and the Tiger","222643","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458454","5.69015","6.23397","1.6471","6602","2820","thing","The Lady and the Tiger","1","6","20","20","15","2017","1,2,3,4,5,6","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Last Lantern","439519","0","0","0","0","0","0","0","0","0","0","1","3","","Spiel 25","","","","136164441","5.54276","7.28272","0","14486","193","thing","Last Lantern","2","4","30","30","30","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Layer Puzzle","412816","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 25","","","","136082975","5.52105","6.94054","1.25","19376","91","thing","Layer Puzzle","1","4","30","30","10","2024","2,3,4","3,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Let's Go! To Japan","368173","0","0","0","0","0","0","0","1","0","0","0","3","Spiel 24","","","","","122548822","7.06956","7.55973","2.2609","424","14354","thing","Let's Go! To Japan","1","4","60","60","45","2024","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
